time_point,number,volume_mean,volume_sd,surface_mean,surface_sd,aspect_ratio_mean,aspect_ratio_sd,solidity_mean,solidity_sd,centroid_mean,centroid_sd
39,2,7199.3600000000015,145.27999999999975,2515.84,58.24000000000001,1.7241913567587026,0.008646941418297915,0.9235752303668276,0.002243437487928379,26.056775689393262,0.4445496375180671
40,2,7486.080000000002,306.55999999999995,2589.4400000000005,80.63999999999987,1.7412426481344672,0.01834251237494311,0.9142400077007058,0.006820583084655607,24.47108123404805,0.7078778645825743
41,2,7607.680000000002,310.4000000000001,2611.84,104.31999999999994,1.7026977406025159,0.03015847748260847,0.9285959588445596,0.004881362969695324,22.8944623744224,0.9323147868926327
42,2,7710.080000000002,306.55999999999995,2636.1600000000003,88.96000000000004,1.7171319858460221,0.013011401159420455,0.9151978869663246,0.006803188880904976,21.43562914820345,1.0924743376246937
43,2,7825.920000000002,172.79999999999973,2683.5200000000004,60.799999999999955,1.7009862527004982,0.03489888590618573,0.9153800469467229,0.0056070953178976035,19.92488372233821,1.5142308750061986
44,2,7920.000000000002,184.96000000000004,2691.8400000000006,64.0,1.7041967832179044,0.04092016292377776,0.9216531206309873,0.007907014711984184,18.948792981259025,1.9607837090601503
45,2,8026.880000000002,154.8800000000001,2720.0000000000005,55.039999999999964,1.6958209215199995,0.049764327056460944,0.9249384727184531,0.004315829384797409,18.470676449012807,2.170209515547336
46,2,7996.160000000002,84.48000000000002,2720.0000000000005,28.159999999999854,1.7037345213783108,0.0715237776096338,0.9191758678399626,0.005369315577872125,18.13348245113984,2.0302796671585437
47,2,7997.440000000001,17.920000000000073,2709.76,15.3599999999999,1.7003535024151226,0.07120132139963864,0.9285182389073814,0.0040904567447925255,17.83722165397002,2.5985468875342193
48,2,8084.480000000001,7.679999999999836,2743.6800000000003,13.439999999999827,1.708907377100947,0.08976963793130066,0.923621029437862,0.00044082420145646894,17.846502127016503,2.5899573608262267
49,2,8123.520000000002,64.63999999999987,2755.84,33.27999999999997,1.6970658006832475,0.0800654136542055,0.9161338103288745,0.0019084717446847255,18.013369786600844,2.6315149457026337
50,2,8170.880000000001,14.7199999999998,2761.6000000000004,26.24000000000001,1.7007875412220272,0.0910512995641054,0.9165083823788382,0.006716555085083342,18.373134261396086,2.3142419825883707
51,2,8250.880000000001,26.88000000000011,2784.6400000000003,32.6400000000001,1.6888645184161142,0.08342183229528166,0.9154992029550344,0.004866581003814874,18.448955248256627,2.2127823357746443
52,2,8193.280000000002,30.720000000000255,2769.9200000000005,25.59999999999991,1.711923484565288,0.09785347733912299,0.9210001778558364,0.004421915728341053,18.76057602884444,2.147313520744671
53,2,8230.400000000001,43.51999999999998,2776.9600000000005,33.92000000000007,1.7026962060057795,0.09676682261183078,0.9178389147716393,0.0064561798594924835,18.940682572430077,2.056684535226889
54,2,8236.800000000003,23.039999999999964,2771.2000000000007,7.680000000000064,1.7038406643555768,0.0838778157987271,0.9186365574422379,0.006719458996642003,19.08370535477428,1.677336356916598
55,2,8311.68,14.720000000000255,2801.2800000000007,4.480000000000018,1.6791873860992237,0.08628892287567957,0.9191888796483635,2.1174211600638593e-05,19.365672144862963,1.8181221726678611
