time_point,number,volume_mean,volume_sd,surface_mean,surface_sd,aspect_ratio_mean,aspect_ratio_sd,solidity_mean,solidity_sd,centroid_mean,centroid_sd
1,2,8405.760000000002,3375.360000000001,2872.9600000000005,840.3200000000002,1.4699183340719153,0.08886378071969869,0.8890616699367813,0.00206498931908744,18.792326587290113,6.7955223517016545
2,2,8421.760000000002,3314.5600000000004,2903.6800000000003,841.6000000000001,1.4770256929921015,0.09692611443686272,0.8909070351938984,0.003321222836918991,18.631534914946783,7.00361472100822
3,2,8439.04,3481.6000000000013,2893.4400000000005,859.5200000000003,1.4611241191078566,0.09508908324448484,0.8961495985215164,0.00507213269761525,18.70941060775865,7.083738660415444
4,2,8529.280000000002,3315.8400000000006,2935.040000000001,866.5600000000002,1.4963338229521463,0.13227587521116535,0.8896633054378469,0.001307624421615361,18.080464719053946,7.077665948910949
5,2,8583.04,3185.28,2957.4400000000005,841.6000000000001,1.4961516125961365,0.11827628531331635,0.887730322330316,0.0013450908928245298,18.17351161431376,7.099637727298802
6,2,8636.800000000003,3312.000000000001,2958.080000000001,870.4000000000003,1.4904538670593421,0.11194200772651641,0.887181079826478,0.001112039029643519,17.748396614020518,7.1062112685321965
7,2,8699.520000000002,3244.1600000000003,2986.2400000000007,853.7600000000002,1.5139371928747485,0.11745210786977223,0.8866824448105902,0.0017008528339493845,18.189339792179535,7.292534576910839
8,2,8732.160000000002,3368.960000000001,2992.000000000001,868.4800000000002,1.5007037366911216,0.1086748127899485,0.8810181943768386,0.007366217276585596,17.792689513488252,7.343746690745675
9,2,8661.120000000003,3327.3600000000015,2963.2000000000007,866.5600000000002,1.512285770115183,0.10604938703173272,0.8903266822118774,0.000811173367991247,17.60691722806001,7.348840495440455
10,2,8772.480000000001,3524.480000000001,3005.4400000000005,916.4800000000002,1.5264455980013105,0.13927503996258017,0.8918135255213686,0.0015357477435908316,17.601756167899755,7.5413563272790265
11,2,8766.080000000002,3524.480000000001,3016.3200000000006,926.0800000000002,1.5109718283753661,0.12646469192033527,0.8885812113850587,0.0035511211142462695,17.611731278613593,7.523322875670324
12,2,8673.920000000002,3372.1600000000003,3016.9600000000005,890.8800000000001,1.5364514990760805,0.09646559889960504,0.8809196807030931,0.00804060717764199,17.728109371640254,7.583494108809814
13,2,8685.440000000002,3085.440000000001,3056.6400000000003,866.5600000000002,1.5019700518925294,0.13626122048353229,0.8859060644886458,0.01054597230504678,18.270018859318846,8.182864713996542
14,2,8573.440000000002,2593.280000000001,3059.2000000000007,788.4800000000002,1.4819033109135176,0.07932258757143862,0.8729899056610798,0.017012538729044846,18.286531459547717,7.7774500739772074
