time_point,number,volume_mean,volume_sd,surface_mean,surface_sd,aspect_ratio_mean,aspect_ratio_sd,solidity_mean,solidity_sd,centroid_mean,centroid_sd
1,2,8620.800000000001,3770.8800000000006,2906.2400000000007,981.1200000000001,1.6105290495801392,0.07889613374440851,0.9024485057464636,0.0010684565940281,12.644012395624182,4.297942250839418
2,2,8631.04,3797.760000000001,2909.4400000000005,1006.0800000000003,1.6018602094805083,0.0700601368113779,0.9053542870154682,0.0069538871154432025,12.730545195355125,4.855764310015937
3,2,8748.800000000003,3883.5200000000013,2938.2400000000007,1015.6800000000003,1.600608808313058,0.07291041245938568,0.9086239664225273,0.006619649432086427,12.840072777675408,4.963488890553793
4,2,8796.800000000003,3891.840000000001,2949.7600000000007,1025.9200000000003,1.5974109030305792,0.05048725338150062,0.9064593424020934,0.006170945764675473,12.904936519571779,5.245474963911991
5,2,8805.760000000002,3939.2000000000007,2965.1200000000003,1050.24,1.5844129053125369,0.06448553724094319,0.9052025487289541,0.00388836036195489,12.721408296955838,5.7388617885910325
6,2,8805.12,3831.0400000000004,2979.8400000000006,1039.3600000000001,1.5811043990428697,0.07396063333549019,0.9167409898501719,0.016386423277241213,12.830976289877423,6.159033344829303
7,2,8871.04,3844.4800000000005,3003.5200000000004,1040.0000000000002,1.5856393670664506,0.07474609270651067,0.9059232625254293,0.007120215735440194,12.573682063956834,6.365113708031643
8,2,8821.760000000002,3872.0000000000005,2983.040000000001,1034.8800000000003,1.5908579886020888,0.05809415240223503,0.8985485814850476,0.0036464312072026495,12.818252468554514,6.589681260007955
9,2,8852.480000000001,3912.9600000000005,3003.5200000000004,1061.76,1.5824785703780395,0.05907860706587764,0.9103057882788781,0.009639525407890814,12.762541634836786,6.223594535079719
10,2,8894.720000000001,3907.840000000001,3023.3600000000006,1073.9200000000003,1.5707087712384087,0.06950778671653568,0.901716234284799,0.008188300321406272,12.798850526473593,6.578285435930244
11,2,8862.080000000002,3896.960000000001,3006.080000000001,1054.0800000000002,1.564110940649974,0.06512701697165668,0.8998315561853145,0.005478840224558357,12.425298328948687,6.7623517365102845
12,2,8885.12,3925.1200000000003,3013.120000000001,1070.0800000000002,1.561919098578473,0.07638112233092809,0.9015943857648372,0.004688415254805844,13.025555847077987,6.792931285352109
13,2,8954.880000000001,3943.680000000001,3036.8000000000006,1074.56,1.5449919156119325,0.09313747611416956,0.9043911029217047,0.0034230312483237157,13.733868469829986,6.0797808989335715
