time_point,number,volume_mean,volume_sd,surface_mean,surface_sd,aspect_ratio_mean,aspect_ratio_sd,solidity_mean,solidity_sd,centroid_mean,centroid_sd
1,2,10236.160000000002,2786.560000000001,3326.7200000000007,730.8800000000001,1.5249576808385727,0.009223470851470461,0.9122702070043369,0.010775519448060933,9.945174635623111,5.434552659620172
2,2,10309.120000000003,2824.96,3344.000000000001,760.9600000000003,1.504566581912355,0.027013508797935737,0.9108612065422228,0.009796117784826308,10.154353230793848,5.152941003108722
3,2,10377.600000000002,2853.7600000000007,3367.0400000000004,758.4000000000001,1.5078285138506593,0.020129883502062573,0.9122661541561401,0.012642270752284857,10.304353312094825,5.000085996339524
4,2,10561.280000000002,2938.880000000001,3433.600000000001,766.0800000000004,1.510079107829981,0.022732816721154014,0.9054291743077729,0.008873484583202695,10.361895541265827,4.89700893514751
5,2,10741.120000000003,2948.4800000000005,3495.0400000000004,795.52,1.502400231034485,0.022197053572109545,0.9018579753172563,0.009369685910404879,10.34177500061797,4.6977866828280845
6,2,10899.2,3006.7200000000003,3531.5200000000004,794.8800000000001,1.4957017165499726,0.026329951424958087,0.8981923568959196,0.0051008005492735875,10.267976574808866,5.14813260589147
7,2,10989.440000000002,2980.48,3541.120000000001,798.0800000000002,1.497193806522933,0.019416513391452006,0.9090999976520413,0.012506120894803907,10.183351695819685,4.2184971867142425
8,2,11217.920000000002,3116.8000000000006,3592.9600000000005,788.48,1.4681306499486122,0.029415316776332023,0.9027820756468028,0.006957757169953005,10.219936131883964,3.909530432188298
9,2,11379.840000000002,3182.720000000001,3598.7200000000003,777.6000000000001,1.481566552872112,0.01688358288575975,0.9070012999935061,0.0031582298133788766,10.43654791390537,3.7453855330896224
10,2,11011.840000000002,2974.7200000000007,3557.120000000001,727.0400000000002,1.5138753229303576,0.015462098568555516,0.8999901864215851,0.002074098619417819,10.49452137078053,3.265672496910737
11,2,10441.600000000002,2467.2000000000007,3440.6400000000003,645.1200000000001,1.5148547221124882,0.007145950316502225,0.8923838927812183,0.008247170607686316,10.789023573632164,3.4706714611274023
12,2,8640.640000000001,1161.6,3171.840000000001,476.1600000000001,1.6265967680145073,0.03704361435822745,0.8558836662015286,0.029645491465858043,10.546729764759943,2.7202257208030614
13,2,3475.2000000000007,202.24,1502.0800000000004,67.19999999999993,2.2578245041757223,0.05644325891945501,0.9140509454932184,0.00026924758803653637,9.473111116266633,2.8211445737338607
14,2,4630.4000000000015,245.12000000000035,2007.6800000000003,36.48000000000002,2.176166890670548,0.19694167217462866,0.8443507379175788,0.013431390456075387,7.28771912647118,3.283088999956708
15,1,11384.320000000002,0.0,4065.2800000000007,0.0,1.6341977363156364,0.0,0.8043452309896144,0.0,4.985065411036781,0.0
16,1,14673.920000000004,0.0,4972.800000000001,0.0,1.5820889853675788,0.0,0.7982883960614705,0.0,5.304671529045016,0.0
17,1,16024.320000000003,0.0,5648.640000000001,0.0,1.6691356937130417,0.0,0.7359423511824907,0.0,4.409546055919006,0.0
18,1,15911.680000000004,0.0,5907.200000000001,0.0,1.733311622670765,0.0,0.7067348365027403,0.0,6.24097375553204,0.0
19,1,13824.000000000002,0.0,5222.4000000000015,0.0,1.8049994764530017,0.0,0.7307237101652566,0.0,6.178393095765274,0.0
20,2,8222.080000000002,908.1600000000003,3419.5200000000004,371.8399999999999,1.9940602214790686,0.14533894125983415,0.7289013624980727,0.010867103179409754,8.628197379832113,5.548004902379177
21,2,2567.0400000000004,32.63999999999987,1260.8000000000002,19.200000000000045,2.7865448079124784,0.03868355570431348,0.8881138392857143,0.013113839285714302,20.242951736294167,1.8640147748880178
22,2,3093.7600000000007,296.96000000000004,1437.4400000000003,87.03999999999996,2.838690983109137,0.1868696501783884,0.8974348473566642,0.005898485976669143,19.77587149402771,2.203274403074156
23,2,4227.200000000001,55.68000000000029,1757.4400000000003,12.799999999999955,2.2705517731938594,0.17400464595561038,0.9059368956337162,0.002318363337469931,25.285714321509914,1.4431783817100126
24,2,5061.120000000001,129.2800000000002,1980.1600000000003,28.159999999999968,1.9324613832292732,0.04084721450695894,0.9149716341497163,0.005880725058807268,29.632316974822512,1.4349186945411674
25,2,5154.560000000001,108.79999999999973,2004.4800000000005,23.040000000000077,1.7881592175723349,0.03328767327585491,0.909424584796933,0.00015464528363995367,32.99164587001887,2.0160809117643215
26,2,6082.560000000001,42.23999999999978,2255.3600000000006,8.960000000000036,1.75807308001899,0.01673444634013066,0.9058059501943707,0.007215794369488215,34.93245892374923,1.951976630311023
27,2,6543.360000000001,7.679999999999836,2376.3200000000006,5.759999999999991,1.7108819281164354,0.001639217536053672,0.9160395059366788,0.00816758361555997,36.523357118901366,1.8200087902573543
28,2,6853.760000000002,251.51999999999998,2481.2800000000007,31.3599999999999,1.692199229267069,0.027576334312067737,0.9170993677434369,0.0013509747223165447,37.58481621366529,2.091657954277103
29,2,7175.040000000002,435.84000000000015,2559.3600000000006,96.6400000000001,1.685386099240387,0.03921707752914361,0.9222478456123315,0.005024881660395664,37.57083866040257,1.9645075165864334
30,2,7534.080000000002,478.72000000000025,2648.9600000000005,96.63999999999987,1.679461930133797,0.025576830098819614,0.914708108859429,0.0068382242844027274,37.26777195346446,1.722773226699296
31,2,8002.560000000001,373.7600000000002,2750.7200000000003,69.12000000000012,1.6577170262583705,0.025434184322193132,0.9249826078521044,0.00019152150112944355,36.53964462496988,2.0503524126690174
32,2,8433.280000000002,273.27999999999975,2824.9600000000005,64.0,1.6169525332293864,0.008472291974384927,0.9194509409012478,0.0009014820062411832,34.70245483026572,2.5211906904658257
