time_point,number,volume_mean,volume_sd,surface_mean,surface_sd,aspect_ratio_mean,aspect_ratio_sd,solidity_mean,solidity_sd,centroid_mean,centroid_sd
1,2,9576.320000000002,2872.9600000000005,3273.6000000000004,667.5200000000002,1.5949879249996766,0.18210818093845604,0.8390600523740656,0.0240928665576291,17.408849952382102,5.5243828980950624
2,2,9703.680000000002,3311.3600000000006,3316.480000000001,819.2000000000003,1.5871958775768666,0.11933961090493839,0.8209868514789919,0.012428061231074983,12.18776022413816,4.022426396506983
3,2,9701.120000000003,3301.1200000000013,3314.5600000000004,791.6800000000001,1.5780913410577453,0.14522281403398174,0.8251787075891213,0.008534523714471498,13.15501654218962,4.225832406382933
4,2,9763.2,3396.4800000000005,3332.4800000000005,845.4400000000003,1.6107643754777752,0.14412377171702384,0.8104050420082352,0.01271952784723629,13.259138059111093,3.9308010605106976
5,2,9751.680000000002,3702.4,3326.080000000001,912.0000000000002,1.5935223664059461,0.12891144315195435,0.8023924098066844,0.017755921466492353,13.196227664832767,4.632309106794638
6,2,9765.760000000002,3401.6000000000004,3333.7600000000007,817.2800000000002,1.55320109714761,0.13552274320326996,0.8211965602458882,0.018441909202615403,13.585126050226929,4.434584366587861
7,2,9746.560000000001,3189.1200000000003,3332.4800000000005,754.5600000000002,1.5597149273674926,0.15558934907062372,0.8362504429716595,0.03004576932137748,13.404720294728012,4.602270717286234
8,2,9731.2,3528.3200000000006,3324.1600000000008,869.1200000000001,1.5750122183874247,0.12691168087718452,0.8078966086133808,0.003909200428700854,13.507258234523107,4.799341025285536
9,2,9699.2,3404.1600000000008,3323.5200000000004,801.9200000000001,1.5602188600841815,0.14801446911643046,0.831305521591558,0.0279504423744098,13.756481955466306,4.834886590283485
10,2,9701.760000000002,3486.0800000000004,3322.2400000000007,830.0800000000002,1.5850054794035566,0.14434938238541883,0.8155188936579665,0.01614421934843019,13.846137261073885,4.685587403485033
11,2,9701.760000000002,3514.2400000000002,3333.7600000000007,899.2000000000003,1.5837959995144204,0.13029798214275667,0.7933273643303513,0.00447993063064378,13.433201506033413,4.698238642243344
12,2,9774.720000000001,3561.6000000000013,3352.3200000000006,851.2,1.5645145500155957,0.14087688679047916,0.8124918950367739,0.01182606066307429,13.830165281130395,4.570348743890754
13,2,9713.920000000002,3473.9200000000005,3324.1600000000008,826.8800000000001,1.5684011542243543,0.17061873872164146,0.8141468184333476,0.01695123125941217,13.857815457883163,4.616950092604328
14,2,9768.320000000002,3356.800000000001,3336.3200000000006,803.2,1.5625179563540934,0.1453685673311499,0.818411854796687,0.009281109866492276,13.810765186605185,4.756542423876181
15,2,9812.480000000003,3281.920000000001,3351.040000000001,775.6800000000003,1.5802292982724857,0.15509680586327224,0.8318307952906743,0.020388410117426814,13.65250461187738,3.9490289960866063
16,2,9753.600000000002,3120.6400000000003,3340.1600000000008,778.8800000000001,1.6190227587544377,0.18013140619879942,0.8048296159261705,0.010160990224328759,13.603880078661003,3.661594705271156
17,2,9663.360000000002,3096.960000000001,3322.2400000000007,749.44,1.5744169131920485,0.1620502668181235,0.824908507286817,0.013536393162409344,13.688445845615622,4.2100904769148615
18,2,9666.560000000001,3676.1600000000008,3333.1200000000003,934.4000000000001,1.603766128424689,0.16135940787922876,0.7945475052703955,0.0030024624923381538,13.84406281289354,4.491672075140783
19,2,9735.680000000002,3288.32,3342.080000000001,812.8000000000002,1.586497374735417,0.15815517808842128,0.806680090822119,0.005736941752168767,13.762219896481804,4.111160433423004
20,2,9751.680000000002,2300.800000000001,3358.7200000000003,572.1600000000001,1.6930411217677164,0.2227603111258195,0.8225770797057108,0.004431848865717736,13.201912318504096,2.949962443966535
21,2,9768.320000000002,1891.2000000000003,3413.120000000001,522.8800000000001,1.7123560637416153,0.22828302535859935,0.835730949145067,0.009768379112881975,12.78139945429048,2.6401483141815856
22,2,9795.200000000003,2537.600000000001,3374.7200000000007,635.52,1.6841626755326788,0.2106205370454478,0.8161878731179026,0.004229760292770279,13.013729755974744,3.181342499784395
23,2,9804.800000000003,2318.080000000001,3392.6400000000003,602.24,1.715784748672618,0.2254875655408406,0.8141621189833019,0.012405461137459828,13.390382129085701,2.967531314443879
24,2,9820.800000000003,2322.5600000000004,3402.2400000000007,588.8000000000002,1.6968493560448898,0.21898147379206645,0.8312472668541346,0.0014439824579181582,12.975653601336614,2.9997242563261732
25,2,9898.240000000002,2292.480000000001,3436.1600000000008,604.8000000000002,1.726136024245354,0.2382457050292831,0.8119976960380586,0.018343417067865964,12.754406657274215,3.074540560832272
26,2,9895.04,2336.6400000000003,3420.1600000000008,609.2800000000002,1.7145492386867665,0.2366656958592288,0.8131730636747866,0.02093173173347118,13.331203455148103,3.024197828799849
27,2,9959.680000000002,2854.4,3434.2400000000007,741.1200000000001,1.6735400758722703,0.2120840461139385,0.8049746263389683,0.018731019199838828,13.215470419196041,3.4985836238964856
28,2,10037.760000000002,2894.0800000000004,3456.640000000001,757.1200000000003,1.6403254028347085,0.19107833318491452,0.8042779106226288,0.01630158417677685,13.339550061259246,3.6192739812563053
29,2,9817.600000000002,2300.1600000000003,3416.3200000000006,652.8000000000002,1.6772030354659524,0.18873432428969472,0.8140714029434071,0.014424156071335181,13.16452747559444,3.4432326738064036
30,2,9188.480000000003,1928.3200000000006,3266.5600000000004,541.4400000000003,1.637648004623403,0.14993072548291042,0.7950707368003378,0.014483934063471204,13.535369358525017,3.758292023045769
31,2,9196.800000000001,1767.6799999999998,3339.5200000000004,565.76,1.599030105994328,0.14789719801998924,0.7892300751227227,0.014454230457916606,13.829011740725301,4.078425276268822
32,2,9787.52,4908.160000000001,3434.8800000000006,1352.3200000000002,1.6913933086963084,0.2078835920730886,0.7954423148228812,0.010050884701745755,14.809446248061782,4.659478750008586
33,2,6348.160000000002,113.2800000000002,2699.5200000000004,262.4000000000001,2.00210273599827,0.1319448404285316,0.7684188413413744,0.05509778547888211,14.780253913597559,5.193042437433647
34,1,8006.4000000000015,0.0,3078.4000000000005,0.0,2.030610381195072,0.0,0.8310211115898319,0.0,12.358056046856621,0.0
35,1,10101.760000000002,0.0,3718.4000000000005,0.0,1.892235571929041,0.0,0.8199322033898305,0.0,12.017561190987252,0.0
36,1,12110.080000000002,0.0,4341.760000000001,0.0,1.9102846014674053,0.0,0.8032025082582163,0.0,13.633507525551241,0.0
37,1,11726.080000000002,0.0,4395.52,0.0,2.1348533603193567,0.0,0.7664050577719642,0.0,12.539463099343964,0.0
38,1,11665.920000000002,0.0,4142.080000000001,0.0,2.0062171491721683,0.0,0.8252427184466019,0.0,14.696652334559788,0.0
39,1,10334.720000000001,0.0,3923.2000000000007,0.0,2.1565507674244695,0.0,0.7755331088664422,0.0,13.611890903853894,0.0
40,1,11328.000000000002,0.0,4184.320000000001,0.0,2.230743891262523,0.0,0.7960426179604262,0.0,13.765978627768062,0.0
41,1,11370.240000000002,0.0,4172.800000000001,0.0,2.2772100596220346,0.0,0.7806319618095021,0.0,13.738757929946667,0.0
42,1,7969.280000000002,0.0,2924.8000000000006,0.0,2.3345180588250445,0.0,0.8631161575200504,0.0,14.51330596150742,0.0
43,2,3182.080000000001,340.48000000000025,1466.88,162.56000000000006,2.6478381955895394,0.19352222866973956,0.8843125709719477,0.01990579131093073,15.719882875880355,4.1625754437495965
44,2,2584.9600000000005,164.48000000000002,1240.96,41.60000000000002,2.8936629558249702,0.24273091337171038,0.9029621095171012,0.009418350550099708,19.495192212654217,3.6192675267680814
45,2,3655.6800000000007,399.3600000000001,1580.8000000000002,117.7600000000001,2.201776870563054,0.06987636782339868,0.9069492233151767,0.0028159188356268183,22.19396977177853,4.085707108200744
46,2,4547.200000000001,306.55999999999995,1815.0400000000004,92.15999999999998,1.95952621150408,0.061281312372785,0.9071240220647401,0.010908764820505845,24.781839486359466,4.2027391621453525
